2025-08-13 16:51:52.894 [main] INFO  a-Starting a using Java 17.0.9 with PID 13264 (started by 24862 in E:\cqwaimai\web-project\tilias-web-management)
2025-08-13 16:51:52.896 [main] INFO  a-No active profile set, falling back to 1 default profile: "default"
2025-08-13 16:51:54.416 [main] INFO  a-Started a in 1.821 seconds (process running for 2.971)
2025-08-13 16:51:55.052 [main] INFO  a-方法的开始
2025-08-13 16:51:55.053 [main] INFO  a-执行第0次
2025-08-13 16:51:55.054 [main] INFO  a-执行第1次
2025-08-13 16:51:55.054 [main] INFO  a-执行第2次
2025-08-13 16:51:55.075 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-0} closing ...
2025-08-13 16:58:08.557 [main] INFO  a-Starting a using Java 17.0.9 with PID 17784 (started by 24862 in E:\cqwaimai\web-project\tilias-web-management)
2025-08-13 16:58:08.560 [main] INFO  a-No active profile set, falling back to 1 default profile: "default"
2025-08-13 16:58:09.817 [main] INFO  a-Started a in 1.54 seconds (process running for 2.57)
2025-08-13 16:58:10.432 [main] INFO  a-方法的开始
2025-08-13 16:58:10.432 [main] INFO  a-执行第0次
2025-08-13 16:58:10.433 [main] INFO  a-执行第1次
2025-08-13 16:58:10.434 [main] INFO  a-执行第2次
2025-08-13 16:58:10.455 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-0} closing ...
2025-08-13 16:58:36.066 [main] INFO  a-Starting a using Java 17.0.9 with PID 11684 (started by 24862 in E:\cqwaimai\web-project\tilias-web-management)
2025-08-13 16:58:36.069 [main] INFO  a-No active profile set, falling back to 1 default profile: "default"
2025-08-13 16:58:37.408 [main] INFO  a-Started a in 1.622 seconds (process running for 2.691)
2025-08-13 16:58:38.128 [main] INFO  a-方法的开始
2025-08-13 16:58:38.128 [main] INFO  a-执行第0次
2025-08-13 16:58:38.130 [main] INFO  a-执行第1次
2025-08-13 16:58:38.130 [main] INFO  a-执行第2次
2025-08-13 16:58:38.155 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-0} closing ...
